Nó,Centralidade de Grau,Centralidade de Intermediação,Comunidade
Napoleon,0.013157894736842105,0.0,0
Myriel,0.13157894736842105,0.17684210526315788,0
MlleBaptistine,0.039473684210526314,0.0,0
MmeMagloire,0.039473684210526314,0.0,0
CountessDeLo,0.013157894736842105,0.0,0
Geborand,0.013157894736842105,0.0,0
Champtercier,0.013157894736842105,0.0,0
Cravatte,0.013157894736842105,0.0,0
Count,0.013157894736842105,0.0,0
OldMan,0.013157894736842105,0.0,0
Valjean,0.47368421052631576,0.5699890527836184,1
Labarre,0.013157894736842105,0.0,1
Marguerite,0.02631578947368421,0.0,2
MmeDeR,0.013157894736842105,0.0,1
Isabeau,0.013157894736842105,0.0,1
Gervais,0.013157894736842105,0.0,1
Listolier,0.09210526315789473,0.0,2
Tholomyes,0.11842105263157894,0.04062934817733579,2
Fameuil,0.09210526315789473,0.0,2
Blacheville,0.09210526315789473,0.0,2
Favourite,0.09210526315789473,0.0,2
Dahlia,0.09210526315789473,0.0,2
Zephine,0.09210526315789473,0.0,2
Fantine,0.19736842105263158,0.12964454098819422,2
MmeThenardier,0.14473684210526316,0.02900241873046176,5
Thenardier,0.21052631578947367,0.07490122123424225,5
Cosette,0.14473684210526316,0.023796253454148188,1
Javert,0.22368421052631576,0.05433155966478436,1
Fauchelevent,0.05263157894736842,0.026491228070175437,1
Bamatabois,0.10526315789473684,0.008040935672514621,4
Perpetue,0.02631578947368421,0.0,1
Simplice,0.05263157894736842,0.008640295033483888,1
Scaufflaire,0.013157894736842105,0.0,1
Woman1,0.02631578947368421,0.0,1
Judge,0.07894736842105263,0.0,4
Champmathieu,0.07894736842105263,0.0,4
Brevet,0.07894736842105263,0.0,4
Chenildieu,0.07894736842105263,0.0,4
Cochepaille,0.07894736842105263,0.0,4
Pontmercy,0.039473684210526314,0.006925438596491228,1
Boulatruelle,0.013157894736842105,0.0,5
Eponine,0.14473684210526316,0.011487550654163002,5
Anzelma,0.039473684210526314,0.0,5
Woman2,0.039473684210526314,0.0,1
MotherInnocent,0.02631578947368421,0.0,1
Gribier,0.013157894736842105,0.0,1
MmeBurgon,0.02631578947368421,0.02631578947368421,3
Jondrette,0.013157894736842105,0.0,3
Gavroche,0.2894736842105263,0.16511250242584766,3
Gillenormand,0.09210526315789473,0.02021062158319776,1
Magnon,0.02631578947368421,0.00021720969089390142,1
MlleGillenormand,0.09210526315789473,0.047598927875243675,1
MmePontmercy,0.02631578947368421,0.0003508771929824561,1
MlleVaubois,0.013157894736842105,0.0,1
LtGillenormand,0.05263157894736842,0.0,1
Marius,0.25,0.132032488621946,1
BaronessT,0.02631578947368421,0.0,1
Mabeuf,0.14473684210526316,0.027661236424394314,3
Enjolras,0.19736842105263158,0.0425533568221771,3
Combeferre,0.14473684210526316,0.0012501455659350393,3
Prouvaire,0.11842105263157894,0.0,3
Feuilly,0.14473684210526316,0.0012501455659350393,3
Courfeyrac,0.17105263157894735,0.00526702988198833,3
Bahorel,0.15789473684210525,0.0021854883087570067,3
Bossuet,0.17105263157894735,0.03075365017995782,3
Joly,0.15789473684210525,0.0021854883087570067,3
Grantaire,0.13157894736842105,0.00015037593984962405,3
MotherPlutarch,0.013157894736842105,0.0,3
Gueulemer,0.13157894736842105,0.004960383978389518,5
Babet,0.13157894736842105,0.004960383978389518,5
Claquesous,0.13157894736842105,0.00486180419559921,5
Montparnasse,0.11842105263157894,0.0038738298738298727,5
Toussaint,0.039473684210526314,0.0,1
Child1,0.02631578947368421,0.0,3
Child2,0.02631578947368421,0.0,3
Brujon,0.09210526315789473,0.00043859649122807013,5
MmeHucheloup,0.09210526315789473,0.0,3
